"country","state","locality","date","sex","life_stage","genus","order","family","geometry"
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","male","adult","Napeozapus","Rodentia","Dipodidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","1-Aug-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","10-Oct-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","10-Oct-25","male","adult","Napaeozapus","Rodentia","Dipodidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","14-Oct-25","female","adult","Sorex","Soricomorpha","Soricidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","10-Oct-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","10-Oct-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","2-Aug-25","female","adult","Napaeozapus","Rodentia","Dipodidae",c(-83.45224399, 35.03850899)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","30-Jul-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224198, 35.03864796)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","30-Jul-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45224097, 35.038655)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","23-Apr-25","female","juvenile","Peromyscus","Rodentia","Cricetidae",c(-83.45223301, 35.03838896)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","20-Apr-25","female","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45221298, 35.03898198)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","22-Apr-25","male","subadult","Peromyscus","Rodentia","Cricetidae",c(-83.45221097, 35.03880998)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","1-Aug-25","male","adult","Peromyscus","Rodentia","Cricetidae",c(-83.45219504, 35.03891098)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","24-Apr-25","male","adult","Sorex","Soricomorpha","Soricidae",c(-83.45219303, 35.03834504)
"United States","North Carolina","Nantahala National Forest, Coweeta Hydrological Laboratory, 2.72 km ESE Albert Mountain, along Ball Creek Road","21-Apr-25","male","adult","Blarina","Soricomorpha","Soricidae",c(-83.45218599, 35.03903504)
